Pseudo_Student_ID,video_pause_1,video_completed_1,video_pause_4,wall_page_load_4,video_play_1,video_watch_2,video_watch_3,video_seek_3,wall_page_load_1,video_play_2,video_seek_4,video_watch_1,video_completed_2,video_pause_2,video_play_4,wall_page_load_2,video_play_3,video_pause_3,video_seek_1,wall_page_load_3,video_watch_4,video_seek_2,video_caption_1,video_completed_3,tys_finish_1,tys_answer_1,tys_finish_2,tys_finish_3,tys_review_incorrect_question_2,tys_answer_2,tys_answer_3,video_caption_2,ortan_load_1,tys_review_correct_question_3,video_completed_4,tys_review_incorrect_question_3,tys_previous_2,tys_finish_4,tys_previous_3,tys_answer_4,tys_review_incorrect_question_1,tys_load_4,leaderboard_load_2,ortan_load_2,tys_load_2,tys_previous_1,tys_load_1,tys_load_3,tys_previous_4,tys_review_incorrect_question_4,leaderboard_load_1,document_view_2,leaderboard_load_3,ortan_load_3,tys_review_solution_video_4,tys_review_correct_question_1,leaderboard_load_4,video_caption_4,tys_review_correct_question_2,video_caption_3,ortan_video_watch_1,wall_load_more_2,tys_review_topic_video_1,tys_review_solution_video_1,tys_review_correct_question_4,tys_review_solution_video_2,ortan_video_watch_2,document_view_1,wall_load_more_1,tys_review_topic_video_2,ortan_video_watch_3,document_view_3,ortan_load_4,ortan_video_watch_4,tys_review_solution_video_3,tys_review_topic_video_4,wall_load_more_4,tys_review_topic_video_3,wall_load_more_3,document_view_4,wall_make_post_4,wall_make_post_2,wall_make_post_1,wall_search_1,wall_make_post_3,wall_search_3,wall_search_2,wall_search_4
195871287,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195872505,3,2,0,4,6,1,0,0,12,2,0,7,1,1,1,2,0,0,2,3,0,1,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195872561,9,4,2,5,18,24,19,0,26,2,1,32,1,1,2,2,1,0,8,0,56,1,1,0,3,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195872799,0,0,0,4,0,0,0,0,6,0,0,1,0,0,1,5,0,0,0,4,0,0,0,0,3,27,2,2,0,20,22,0,1,0,0,3,2,3,6,27,6,4,0,0,6,0,5,4,2,1,0,0,0,0,16,0,0,0,0,0,0,0,1,14,0,15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
195876082,17,10,0,8,28,0,0,0,24,0,0,39,0,0,1,1,1,0,12,7,0,0,1,0,9,22,0,0,0,0,5,0,0,0,0,0,0,3,2,6,6,1,0,0,0,5,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195877706,10,6,1,7,16,0,0,0,17,0,0,16,0,0,1,1,0,0,5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195878217,6,2,7,22,9,8,4,4,22,11,7,12,2,6,14,18,8,4,6,10,15,6,1,1,9,20,9,5,3,27,11,0,0,0,6,2,3,22,2,48,3,2,1,0,1,0,0,1,5,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195892658,13,12,14,77,26,30,29,13,38,24,9,34,8,9,19,35,28,14,15,36,20,11,2,5,54,74,35,39,24,57,56,5,0,0,3,32,0,81,2,109,37,0,1,0,2,0,0,1,6,58,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195893008,5,2,1,2,9,0,0,0,7,0,0,7,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195895885,2,0,0,0,2,3,3,0,3,5,0,5,2,2,0,3,1,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
